x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
-0.19528,1813.16939,1000.47742,19.9278,0,KTH Biblioteket,-2.11119,1.07467,5475.23204,-89185.68603,TRUE,FALSE,0.39055
0.96711,1039.24998,1000.59127,-96.24958,0,Brinnelvägen 8,0.29538,0.28703,5474.36969,-89187.04831,TRUE,FALSE,-1.93421
-0.36744,791.84564,1000.8749,36.95219,0,Entrée,-2.22641,2.15474,5473.33639,-89184.93092,FALSE,FALSE,0.73489
-1.72245,-92.98303,1000.48905,172.32768,0,N/A,-3.7212,2.82907,5473.57009,-89186.46529,FALSE,FALSE,3.4449
2.33596,-1265.8678,1000.51694,-233.36179,0,Lindstedsvägen 24,4.64681,-3.01512,5475.74198,-89186.14419,TRUE,FALSE,-4.67193
0.40395,-161.39666,1000.4647,-40.23595,0,N/A,-1.24328,-2.31069,5474.33612,-89184.45504,FALSE,FALSE,-0.80791
1.14572,-1455.19498,1000.5947,-114.33642,0,Lindstedsvägen 24,1.05533,-1.88848,5480.46971,-89186.15704,FALSE,FALSE,-2.29145
2.07435,126.81509,1000.36776,-207.2358,0,N/A,1.4513,-2.04158,5477.57978,-89185.00149,TRUE,FALSE,-4.1487
1.02123,803.61836,1000.80753,-101.56136,0,Entrée,1.5618,-0.35138,5473.11954,-89186.934,TRUE,FALSE,-2.04247
0.11588,184.14484,1000.91618,-11.2682,0,N/A,0.91515,-0.38541,5471.65735,-89186.27406,FALSE,FALSE,-0.23175
-0.7098,771.40655,1000.9483,71.53513,0,Entrée,-0.46642,-0.94815,5475.23199,-89186.98879,FALSE,FALSE,1.4196
1.10441,560.93116,1000.83,-110.13924,0,Slussen,1.78275,-2.29715,5479.72051,-89186.00549,TRUE,FALSE,-2.20881
1.00152,439.60302,1000.69822,-99.89012,0,Slussen,0.787,-1.70385,5477.20531,-89185.2901,TRUE,FALSE,-2.00304
0.31063,-252.37344,1000.95068,-30.66286,0,N/A,-1.5005,-0.86823,5477.58151,-89186.30062,FALSE,FALSE,-0.62127
1.22072,-352.66319,1000.69923,-121.59047,0,Slussen,2.71988,-3.83239,5471.73228,-89186.36469,FALSE,FALSE,-2.44144
-1.07626,1580.83426,1000.08781,107.65102,0,Östra stationen,-1.50812,0.48545,5474.41344,-89184.86889,FALSE,FALSE,2.15252
0.47005,1088.15841,1000.68612,-46.48169,0,Brinnelvägen 8,-1.21119,-0.84964,5475.8356,-89187.86778,TRUE,FALSE,-0.94009
0.7984,1764.77815,1000.49555,-79.6975,0,Östra stationen,0.67673,-0.21793,5476.59682,-89187.22638,TRUE,FALSE,-1.5968
-0.00208,70.40659,1000.65908,0.62425,0,N/A,-0.32363,-0.77087,5474.99058,-89185.74847,FALSE,FALSE,0.00415
1.10011,1048.19853,1000.75882,-109.79792,0,Brinnelvägen 8,0.09895,-0.29413,5473.9232,-89187.16528,TRUE,FALSE,-2.20021
1.62464,-27.45565,1000.83467,-162.17658,0,N/A,4.75558,-3.23983,5473.36987,-89187.51397,TRUE,FALSE,-3.24927
1.9268,-1154.04758,1000.64741,-192.57245,0,Brinnelvägen 8,0.41365,-3.18816,5474.43005,-89186.34727,FALSE,FALSE,-3.8536
1.45954,-982.04685,1000.57694,-145.91379,0,Brinnelvägen 8,1.92353,-2.79601,5475.38739,-89184.60725,FALSE,FALSE,-2.91907
0.91847,499.67032,1000.89637,-91.58683,0,Slussen,-0.1319,-1.03179,5474.04431,-89186.27926,TRUE,FALSE,-1.83694
1.76425,89.33265,1000.96322,-175.86508,0,N/A,2.36926,-3.01792,5475.40939,-89186.4943,TRUE,FALSE,-3.52851
2.49523,-95.78836,1000.80378,-248.95846,0,N/A,2.86082,-1.95241,5473.00821,-89186.80217,TRUE,FALSE,-4.99047
0.68246,306.65549,1000.41629,-68.15914,0,Slussen,-0.50608,-0.77094,5474.57685,-89187.36226,FALSE,FALSE,-1.36493
-0.04933,-192.85245,1000.34744,4.9747,0,N/A,2.22504,3.11047,5476.28328,-89183.76392,FALSE,FALSE,0.09866
0.48858,-9.21424,1000.88481,-48.61792,0,N/A,2.63306,-2.53772,5474.07946,-89184.94641,FALSE,FALSE,-0.97715
1.1355,-751.4363,1000.5289,-113.388,0,Entrée,3.67365,-2.9179,5472.95594,-89186.0186,FALSE,FALSE,-2.271
-1.00038,1421.9888,1000.82389,100.34086,0,Östra stationen,-3.3547,0.8653,5475.26366,-89184.16035,FALSE,FALSE,2.00076
2.55281,-1256.45176,1000.56558,-254.79936,0,Lindstedsvägen 24,3.03923,-1.20334,5472.39181,-89185.53087,TRUE,FALSE,-5.10563
0.66052,-704.11208,1000.52626,-65.64418,0,Slussen,-0.10663,-0.77478,5475.37908,-89186.19883,FALSE,FALSE,-1.32104
1.47284,77.78451,1000.4387,-147.00442,0,N/A,1.84225,-3.09157,5473.56229,-89186.37404,TRUE,FALSE,-2.94568
